station_id,lat,lng
72,40.76727216,-73.99392888
79,40.71911552,-74.00666661
82,40.71117416,-74.00016545
83,40.68382604,-73.97632328
116,40.74177603,-74.00149746
119,40.69608941,-73.97803415
120,40.68676793,-73.95928168
127,40.73172428,-74.00674436
128,40.72710258,-74.00297088
137,40.761628,-73.972924
143,40.69239502,-73.99337909
144,40.69839895,-73.98068914
146,40.71625008,-74.0091059
147,40.71542197,-74.01121978
150,40.7208736,-73.98085795
151,40.722103787,-73.99720307
152,40.71473993,-74.00910627
153,40.752062307,-73.9816324
157,40.69089272,-73.99612349
160,40.748238,-73.978311
161,40.72917025,-73.99810231
164,40.75323098,-73.97032517
167,40.7489006,-73.97604882
168,40.73971301,-73.99456405
173,40.760683271,-73.98442659
174,40.7381765,-73.97738662
195,40.70905623,-74.01043382
212,40.74334935,-74.00681753
216,40.70037867,-73.99548059
217,40.70277159,-73.99383605
218,40.69028437,-73.98707105
223,40.73781509,-73.99994661
224,40.71146364,-74.00552427
225,40.74195138,-74.00803013
228,40.754601103,-73.97187886
229,40.72743423,-73.99379025
232,40.69597683,-73.99014892
233,40.694757014,-73.98963911
236,40.7284186,-73.98713956
237,40.73047309,-73.98672378
238,40.7361967,-74.00859207
239,40.69196566,-73.9813018
241,40.68981035,-73.97493121
242,40.69788349,-73.97350332
243,40.68841,-73.978474
244,40.69196035,-73.96536851
245,40.69327018,-73.97703874
247,40.73535398,-74.00483091
248,40.72185379,-74.00771779
249,40.71870987,-74.0090009
250,40.72456089,-73.99565293
251,40.72317958,-73.99480012
252,40.73226398,-73.99852205
253,40.73543934,-73.99453948
254,40.73532427,-73.99800419
255,40.646768,-74.01651
257,40.71939226,-74.00247214
258,40.68940747,-73.96885458
259,40.70122128,-74.01234218
260,40.70365182,-74.01167797
261,40.69474881,-73.98362464
262,40.69178232,-73.97372989
263,40.717590818,-73.9962244
264,40.70706456,-74.00731853
265,40.72229346,-73.99147535
266,40.72368361,-73.97574813
267,40.75097711,-73.98765428
268,40.71910537,-73.99973337
270,40.69308257,-73.97178913
271,40.68528172,-73.97805813
274,40.68691865,-73.976682
275,40.68650065,-73.96563307
276,40.71748752,-74.0104554
278,40.69766564,-73.98476437
279,40.707873,-73.98271933
280,40.73331967,-73.99510132
281,40.7643971,-73.97371465
282,40.70827295,-73.96834101
284,40.739016912,-74.00263761
285,40.73454567,-73.99074142
289,40.6845683,-73.95881081
290,40.76020258,-73.96478473
291,40.713126,-73.984844
293,40.73028666,-73.9907647
294,40.73049393,-73.9957214
295,40.71406667,-73.99293911
296,40.71413089,-73.9970468
297,40.734232,-73.986923
298,40.68683208,-73.9796772
300,40.728145,-73.990214
